,movie_title,movie_imdb_link,num_voted_users,imdb_score,duration,gross,content_rating,budget,title_year
29,Jurassic World ,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,418214,7.0,124.0,652177271.0,PG-13,150000000.0,2015.0
30,Skyfall ,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,522030,7.8,143.0,304360277.0,PG-13,200000000.0,2012.0
31,Spider-Man 2 ,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,411164,7.3,135.0,373377893.0,PG-13,200000000.0,2004.0
32,Iron Man 3 ,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,557489,7.2,195.0,408992272.0,PG-13,200000000.0,2013.0
33,Alice in Wonderland ,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,306320,6.5,108.0,334185206.0,PG,200000000.0,2010.0
34,X-Men: The Last Stand ,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,383427,6.8,104.0,234360014.0,PG-13,210000000.0,2006.0
35,Monsters University ,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,235025,7.3,104.0,268488329.0,G,200000000.0,2013.0
36,Transformers: Revenge of the Fallen ,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,323207,6.0,150.0,402076689.0,PG-13,200000000.0,2009.0
37,Transformers: Age of Extinction ,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,242420,5.7,165.0,245428137.0,PG-13,210000000.0,2014.0
38,Oz the Great and Powerful ,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,175409,6.4,130.0,234903076.0,PG,215000000.0,2013.0
39,The Amazing Spider-Man 2 ,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,321227,6.7,142.0,202853933.0,PG-13,200000000.0,2014.0
40,TRON: Legacy ,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,264183,6.8,125.0,172051787.0,PG,170000000.0,2010.0
41,Cars 2 ,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,101178,6.3,106.0,191450875.0,G,200000000.0,2011.0
42,Green Lantern ,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,223393,5.6,123.0,116593191.0,PG-13,200000000.0,2011.0
43,Toy Story 3 ,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,544884,8.3,103.0,414984497.0,G,200000000.0,2010.0
44,Terminator Salvation ,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,286095,6.6,118.0,125320003.0,PG-13,200000000.0,2009.0
45,Furious 7 ,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,278232,7.2,140.0,350034110.0,PG-13,190000000.0,2015.0
46,World War Z ,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,465019,7.0,123.0,202351611.0,PG-13,190000000.0,2013.0
47,X-Men: Days of Future Past ,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,514125,8.0,149.0,233914986.0,PG-13,200000000.0,2014.0
48,Star Trek Into Darkness ,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,395573,7.8,132.0,228756232.0,PG-13,190000000.0,2013.0
49,Jack the Giant Slayer ,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,106416,6.3,114.0,65171860.0,PG-13,195000000.0,2013.0
50,The Great Gatsby ,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,362912,7.3,143.0,144812796.0,PG-13,105000000.0,2013.0
51,Prince of Persia: The Sands of Time ,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,222403,6.6,116.0,90755643.0,PG-13,200000000.0,2010.0
52,Pacific Rim ,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,381148,7.0,131.0,101785482.0,PG-13,190000000.0,2013.0
53,Transformers: Dark of the Moon ,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,326180,6.3,154.0,352358779.0,PG-13,195000000.0,2011.0
54,Indiana Jones and the Kingdom of the Crystal Skull ,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,333847,6.2,122.0,317011114.0,PG-13,185000000.0,2008.0
55,The Good Dinosaur ,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,62836,6.8,93.0,123070338.0,PG,,2015.0
56,Brave ,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,273556,7.2,93.0,237282182.0,PG,185000000.0,2012.0
57,Star Trek Beyond ,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,53607,7.5,122.0,130468626.0,PG-13,185000000.0,2016.0
58,WALL·E ,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,718837,8.4,98.0,223806889.0,G,180000000.0,2008.0
59,Rush Hour 3 ,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,121084,6.2,91.0,140080850.0,PG-13,140000000.0,2007.0
60,2012 ,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,283418,5.8,158.0,166112167.0,PG-13,200000000.0,2009.0
61,A Christmas Carol ,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,72809,6.8,96.0,137850096.0,PG,200000000.0,2009.0
62,Jupiter Ascending ,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,139593,5.4,127.0,47375327.0,PG-13,176000000.0,2015.0
63,The Legend of Tarzan ,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,42372,6.6,110.0,124051759.0,PG-13,180000000.0,2016.0
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,286506,6.9,150.0,291709845.0,PG,180000000.0,2005.0
65,X-Men: Apocalypse ,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,148379,7.3,144.0,154985087.0,PG-13,178000000.0,2016.0
66,The Dark Knight ,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,1676169,9.0,152.0,533316061.0,PG-13,185000000.0,2008.0
67,Up ,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,665575,8.3,96.0,292979556.0,PG,175000000.0,2009.0
68,Monsters vs. Aliens ,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,114553,6.5,94.0,198332128.0,PG,175000000.0,2009.0
69,Iron Man ,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,696338,7.9,126.0,318298180.0,PG-13,140000000.0,2008.0
70,Hugo ,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,245333,7.5,126.0,73820094.0,PG,170000000.0,2011.0
71,Wild Wild West ,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,129601,4.8,106.0,113745408.0,PG-13,170000000.0,1999.0
72,The Mummy: Tomb of the Dragon Emperor ,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,117927,5.2,112.0,102176165.0,PG-13,145000000.0,2008.0
73,Suicide Squad ,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,118992,6.9,123.0,161087183.0,PG-13,175000000.0,2016.0
74,Evan Almighty ,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,115099,5.4,96.0,100289690.0,PG,175000000.0,2007.0
75,Edge of Tomorrow ,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,431620,7.9,113.0,100189501.0,PG-13,178000000.0,2014.0
76,Waterworld ,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,144337,6.1,176.0,88246220.0,PG-13,175000000.0,1995.0
77,G.I. Joe: The Rise of Cobra ,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,174578,5.8,118.0,150167630.0,PG-13,175000000.0,2009.0
78,Inside Out ,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,345198,8.3,95.0,356454367.0,PG,175000000.0,2015.0
79,The Jungle Book ,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,106072,7.8,106.0,362645141.0,PG,175000000.0,2016.0
80,Iron Man 2 ,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,522371,7.0,124.0,312057433.0,PG-13,200000000.0,2010.0
81,Snow White and the Huntsman ,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,228554,6.1,132.0,155111815.0,PG-13,170000000.0,2012.0
82,Maleficent ,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,252257,7.0,97.0,241407328.0,PG,180000000.0,2014.0
83,Dawn of the Planet of the Apes ,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,317542,7.6,130.0,208543795.0,PG-13,170000000.0,2014.0
84,The Lovers ,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,2138,4.5,109.0,,R,,2015.0
85,47 Ronin ,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,116994,6.3,128.0,38297305.0,PG-13,175000000.0,2013.0
86,Captain America: The Winter Soldier ,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,496749,7.8,136.0,259746958.0,PG-13,170000000.0,2014.0
87,Shrek Forever After ,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,138661,6.4,93.0,238371987.0,PG,165000000.0,2010.0
88,Tomorrowland ,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,128306,6.5,130.0,93417865.0,PG,190000000.0,2015.0
89,Big Hero 6 ,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,279093,7.9,102.0,222487711.0,PG,165000000.0,2014.0
90,Wreck-It Ralph ,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,272534,7.8,101.0,189412677.0,PG,165000000.0,2012.0
91,The Polar Express ,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,120798,6.6,100.0,665426.0,G,165000000.0,2004.0
92,Independence Day: Resurgence ,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,58137,5.5,120.0,102315545.0,PG-13,165000000.0,2016.0
93,How to Train Your Dragon ,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,485430,8.2,98.0,217387997.0,PG,165000000.0,2010.0
94,Terminator 3: Rise of the Machines ,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,305340,6.4,109.0,150350192.0,R,200000000.0,2003.0
95,Guardians of the Galaxy ,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,682155,8.1,121.0,333130696.0,PG-13,170000000.0,2014.0
96,Interstellar ,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,928227,8.6,169.0,187991439.0,PG-13,165000000.0,2014.0
97,Inception ,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,1468200,8.8,148.0,292568851.0,PG-13,160000000.0,2010.0
98,Godzilla Resurgence ,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,374,8.2,120.0,,,,2016.0
99,The Hobbit: An Unexpected Journey ,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,637246,7.9,182.0,303001229.0,PG-13,180000000.0,2012.0
100,The Fast and the Furious ,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,272223,6.7,106.0,144512310.0,PG-13,38000000.0,2001.0
101,The Curious Case of Benjamin Button ,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,459346,7.8,166.0,127490802.0,PG-13,150000000.0,2008.0
102,X-Men: First Class ,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,518537,7.8,132.0,146405371.0,PG-13,160000000.0,2011.0
103,The Hunger Games: Mockingjay - Part 2 ,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,166137,6.6,137.0,281666058.0,PG-13,160000000.0,2015.0
104,The Sorcerer's Apprentice ,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,124185,6.1,109.0,63143812.0,PG,150000000.0,2010.0
105,Poseidon ,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,82380,5.6,98.0,60655503.0,PG-13,160000000.0,2006.0
106,Alice Through the Looking Glass ,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,21352,6.4,113.0,76846624.0,PG,170000000.0,2016.0
107,Shrek the Third ,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,211971,6.1,93.0,320706665.0,PG,160000000.0,2007.0
108,Warcraft ,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,111609,7.3,123.0,46978995.0,PG-13,160000000.0,2016.0
109,Terminator Genisys ,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,188457,6.6,126.0,89732035.0,PG-13,155000000.0,2015.0
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,106446,6.3,113.0,104383624.0,PG,155000000.0,2010.0
111,Pearl Harbor ,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,254111,6.1,184.0,198539855.0,PG-13,140000000.0,2001.0
112,Transformers ,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,513158,7.1,144.0,318759914.0,PG-13,150000000.0,2007.0
113,Alexander ,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,138863,5.5,206.0,34293771.0,R,155000000.0,2004.0
114,Harry Potter and the Order of the Phoenix ,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,355137,7.5,138.0,292000866.0,PG-13,150000000.0,2007.0
115,Harry Potter and the Goblet of Fire ,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,385670,7.6,157.0,289994397.0,PG-13,150000000.0,2005.0
116,Hancock ,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,343648,6.4,102.0,227946274.0,PG-13,150000000.0,2008.0
117,I Am Legend ,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,530870,7.2,104.0,256386216.0,PG-13,150000000.0,2007.0
118,Charlie and the Chocolate Factory ,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,320284,6.7,115.0,206456431.0,PG,150000000.0,2005.0
119,Ratatouille ,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,473887,8.0,111.0,206435493.0,G,150000000.0,2007.0
120,Batman Begins ,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,980946,8.3,128.0,205343774.0,PG-13,150000000.0,2005.0
121,Madagascar: Escape 2 Africa ,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,146019,6.7,89.0,179982968.0,PG,150000000.0,2008.0
122,Night at the Museum: Battle of the Smithsonian ,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,130272,5.9,105.0,177243721.0,PG,150000000.0,2009.0
123,X-Men Origins: Wolverine ,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,361924,6.7,119.0,179883016.0,PG-13,150000000.0,2009.0
124,The Matrix Revolutions ,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,364948,6.7,129.0,139259759.0,R,150000000.0,2003.0
125,Frozen ,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,421658,7.6,102.0,400736600.0,PG,150000000.0,2013.0
126,The Matrix Reloaded ,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,421818,7.2,138.0,281492479.0,R,150000000.0,2003.0
127,Thor: The Dark World ,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,414070,7.1,112.0,206360018.0,PG-13,170000000.0,2013.0
128,Mad Max: Fury Road ,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,552503,8.1,120.0,153629485.0,R,150000000.0,2015.0
129,Angels & Demons ,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,207839,6.7,146.0,133375846.0,PG-13,150000000.0,2009.0
130,Thor ,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,536314,7.0,115.0,181015141.0,PG-13,150000000.0,2011.0
131,Bolt ,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,146766,6.9,96.0,114053579.0,PG,150000000.0,2008.0
132,G-Force ,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,33042,5.1,88.0,119420252.0,PG,150000000.0,2009.0
133,Wrath of the Titans ,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,152826,5.8,99.0,83640426.0,PG-13,150000000.0,2012.0
134,Dark Shadows ,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,199039,6.2,113.0,79711678.0,PG-13,100000000.0,2012.0
135,Mission: Impossible - Rogue Nation ,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,232187,7.4,131.0,195000874.0,PG-13,150000000.0,2015.0
136,The Wolfman ,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,89442,5.8,119.0,61937495.0,R,150000000.0,2010.0
137,The Legend of Tarzan ,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,42372,6.6,110.0,124051759.0,PG-13,180000000.0,2016.0
138,Bee Movie ,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,105902,6.2,91.0,126597121.0,PG,150000000.0,2007.0
139,Kung Fu Panda 2 ,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,182718,7.3,90.0,165230261.0,PG,150000000.0,2011.0
140,The Last Airbender ,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1,118951,4.2,103.0,131564731.0,PG,150000000.0,2010.0
141,Mission: Impossible III ,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,256695,6.9,124.0,133382309.0,PG-13,150000000.0,2006.0
142,White House Down ,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,164238,6.4,131.0,73103784.0,PG-13,150000000.0,2013.0
143,Mars Needs Moms ,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,17590,5.4,88.0,21379315.0,PG,150000000.0,2011.0
144,Flushed Away ,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,85086,6.7,85.0,64459316.0,PG,149000000.0,2006.0
145,Pan ,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,39956,5.8,111.0,34964818.0,PG,150000000.0,2015.0
146,Mr. Peabody & Sherman ,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,47900,6.9,92.0,111505642.0,PG,145000000.0,2014.0
147,Troy ,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,381672,7.2,196.0,133228348.0,R,175000000.0,2004.0
148,Madagascar 3: Europe's Most Wanted ,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,119213,6.9,93.0,216366733.0,PG,145000000.0,2012.0
149,Die Another Day ,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,169914,6.1,133.0,160201106.0,PG-13,142000000.0,2002.0
150,Ghostbusters ,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,69757,5.5,116.0,118099659.0,PG-13,144000000.0,2016.0
151,Armageddon ,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1,322395,6.6,153.0,201573391.0,PG-13,140000000.0,1998.0
152,Men in Black II ,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1,270207,6.1,88.0,190418803.0,PG-13,140000000.0,2002.0
153,Beowulf ,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,142440,6.3,115.0,82161969.0,PG-13,150000000.0,2007.0
154,Kung Fu Panda 3 ,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,64322,7.2,95.0,143523463.0,PG,145000000.0,2016.0
155,Mission: Impossible - Ghost Protocol ,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,365104,7.4,133.0,209364921.0,PG-13,145000000.0,2011.0
156,Rise of the Guardians ,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,123553,7.3,97.0,103400692.0,PG,145000000.0,2012.0
157,Fun with Dick and Jane ,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,110788,6.1,90.0,110332737.0,PG-13,100000000.0,2005.0
158,The Last Samurai ,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,317166,7.7,154.0,111110575.0,R,140000000.0,2003.0
159,Exodus: Gods and Kings ,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,128682,6.1,150.0,65007045.0,PG-13,140000000.0,2014.0
160,Star Trek ,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,504419,8.0,127.0,257704099.0,PG-13,150000000.0,2009.0
161,Spider-Man ,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1,544665,7.3,121.0,403706375.0,PG-13,139000000.0,2002.0
162,How to Train Your Dragon 2 ,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,221128,7.9,102.0,176997107.0,PG,145000000.0,2014.0
163,Gods of Egypt ,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,51892,5.5,126.0,31141074.0,PG-13,140000000.0,2016.0
164,Stealth ,http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1,45455,5.0,121.0,31704416.0,PG-13,135000000.0,2005.0
165,Watchmen ,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1,392474,7.7,215.0,107503316.0,R,130000000.0,2009.0
166,Lethal Weapon 4 ,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,127497,6.6,127.0,129734803.0,R,140000000.0,1998.0
167,Hulk ,http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1,212106,5.7,138.0,132122995.0,PG-13,137000000.0,2003.0
168,G.I. Joe: Retaliation ,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,146352,5.8,122.0,122512052.0,PG-13,130000000.0,2013.0
169,Sahara ,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1,77673,6.0,124.0,68642452.0,PG-13,130000000.0,2005.0
170,Final Fantasy: The Spirits Within ,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,72259,6.4,106.0,32131830.0,PG-13,137000000.0,2001.0
171,Captain America: The First Avenger ,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1,508818,6.9,124.0,176636816.0,PG-13,140000000.0,2011.0
172,The World Is Not Enough ,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,157519,6.4,128.0,126930660.0,PG-13,135000000.0,1999.0
173,Master and Commander: The Far Side of the World ,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1,168207,7.4,138.0,93926386.0,PG-13,150000000.0,2003.0
174,The Twilight Saga: Breaking Dawn - Part 2 ,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,185394,5.5,115.0,292298923.0,PG-13,120000000.0,2012.0
